"RelativePath","Bytes","ReferenceSha256","ImportedSha256","Match"
"libraries/rawkit/camera_data/Sony/ZV-E1.toml","93","2D8581F7A522F2764DF15C0A622DA054B7663806F1C1DFD0BD03BB4484DAF6F7","2D8581F7A522F2764DF15C0A622DA054B7663806F1C1DFD0BD03BB4484DAF6F7","True"
"libraries/rawkit/camera_data/Sony/ZV-E10.toml","93","CE09181D4E0921B7D5A81B00DEDA3EF2300189DEA9DBB6C4685C41293050CD2A","CE09181D4E0921B7D5A81B00DEDA3EF2300189DEA9DBB6C4685C41293050CD2A","True"
"libraries/rawkit/Cargo.lock","69287","EE716DDA422321C54115548F52E9F9C2567C3A0AA7DA49AE446988D4D7A03295","EE716DDA422321C54115548F52E9F9C2567C3A0AA7DA49AE446988D4D7A03295","True"
"libraries/rawkit/Cargo.toml","1282","428073E97A7A38B762DA7ADBA65A866019ABBB6A07B17582E168631001310D49","428073E97A7A38B762DA7ADBA65A866019ABBB6A07B17582E168631001310D49","True"
"libraries/rawkit/LICENSE-APACHE","11357","C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4","C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4","True"
"libraries/rawkit/LICENSE-MIT","1023","F9C4C77BAA3828004EE54B8A4F2DB2E88ED44A6237A493965BF551FAC0FCB62D","F9C4C77BAA3828004EE54B8A4F2DB2E88ED44A6237A493965BF551FAC0FCB62D","True"
"libraries/rawkit/rawkit-proc-macros/Cargo.toml","684","832D5EE8EC2F784FAC1F7163893668EB14CA9A65FD82C90A5EA7CDB4AF9007E8","832D5EE8EC2F784FAC1F7163893668EB14CA9A65FD82C90A5EA7CDB4AF9007E8","True"
"libraries/rawkit/rawkit-proc-macros/LICENSE-APACHE","11357","C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4","C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4","True"
"libraries/rawkit/rawkit-proc-macros/LICENSE-MIT","1023","F9C4C77BAA3828004EE54B8A4F2DB2E88ED44A6237A493965BF551FAC0FCB62D","F9C4C77BAA3828004EE54B8A4F2DB2E88ED44A6237A493965BF551FAC0FCB62D","True"
"libraries/rawkit/rawkit-proc-macros/README.md","422","B677BE215537C81BB060CBF46E7E0C414E58D139BE9C3F91672DE6D909F9ED2A","B677BE215537C81BB060CBF46E7E0C414E58D139BE9C3F91672DE6D909F9ED2A","True"
"libraries/rawkit/rawkit-proc-macros/src/build_camera_data.rs","2865","DC128B8B5FCBD1AF6CF6D398658C89157B95A5D8BBC4CDF2398D2FD1271B99F1","DC128B8B5FCBD1AF6CF6D398658C89157B95A5D8BBC4CDF2398D2FD1271B99F1","True"
"libraries/rawkit/rawkit-proc-macros/src/lib.rs","325","4A0553B7ABC2DC0393929337095A898D10C34DC9152C803DFEDEFB90B9FB6E8C","4A0553B7ABC2DC0393929337095A898D10C34DC9152C803DFEDEFB90B9FB6E8C","True"
"libraries/rawkit/rawkit-proc-macros/src/tag_derive.rs","1213","2805313205EE6FD2868A84974899C489A83AEF3BE458F8FA9360ACB4C0071032","2805313205EE6FD2868A84974899C489A83AEF3BE458F8FA9360ACB4C0071032","True"
"libraries/rawkit/README.md","1851","7AA98455B9CAB4522EBAA87B1192CB87387BA6A3824E776632AE88FD09B891C3","7AA98455B9CAB4522EBAA87B1192CB87387BA6A3824E776632AE88FD09B891C3","True"
"libraries/rawkit/src/decoder/arw1.rs","3284","1857FABB4980789F26E74D012F90C70ADA14BA150013B05AF070D7526017E5DD","1857FABB4980789F26E74D012F90C70ADA14BA150013B05AF070D7526017E5DD","True"
"libraries/rawkit/src/decoder/arw2.rs","4195","D96A32828477DD1001E37E3E16759F6FD338BDE908912E14E66B194B510A492E","D96A32828477DD1001E37E3E16759F6FD338BDE908912E14E66B194B510A492E","True"
